"","V1","V5","V10","V11","V26","V36","V37","V42","V44","V47","V48","V51","V54","V60","V70","V74","V77","V88","V91","V96","V99","V114","V120","V122","V123","V127","V128","V134","V139","V140","V142","V148","V151","V153","V160","V162","V166","V173","V178","V180","V181","V186","V191","V192","V193","V197","V204","V210","V212","V214","V216","V219","V223","V228","V257","V258","V262","V270","V271","V281","V283","V287","V293","V296","V308","V312","V313","V317","V321","V329","V333","V343","V347","V348","V349","V355","V360","V364","V366","V367","V371","V373","V377","V385","V388","V392","V393","V394","V424","V432","V436","V437","V440","V446","V450","V458","V470","V480","V483","V499"
"1",0,1,6,3,4,4,9,3,6,4,7,9,6,9,4,6,2,6,5,13,5,5,4,9,8,6,5,10,9,7,6,8,5,10,11,12,7,7,9,11,5,3,12,11,5,7,10,9,8,8,6,10,12,9,10,12,13,17,11,7,15,9,12,13,6,5,8,8,12,11,9,11,11,6,5,5,13,7,6,5,11,13,7,8,12,9,5,7,6,4,8,15,10,10,11,12,2,8,13,12
"5",1,0,7,4,5,5,10,4,7,3,8,10,7,10,5,5,1,7,6,14,6,6,3,8,7,7,6,11,10,6,5,7,4,11,10,13,6,8,10,10,6,2,13,10,4,8,11,8,7,9,7,11,13,8,11,13,14,18,12,6,16,10,13,14,7,6,7,9,11,12,8,12,12,5,4,6,14,8,7,6,12,14,8,7,13,10,6,8,5,3,7,16,9,9,12,13,1,7,14,13
"10",6,7,0,5,6,6,7,5,0,10,5,7,8,7,6,12,8,8,7,15,7,3,10,15,14,8,7,8,11,13,12,14,11,8,17,10,13,9,7,17,7,9,14,17,11,9,8,15,14,10,8,8,14,15,8,14,11,15,13,13,17,11,10,15,8,7,14,10,18,9,15,13,9,12,11,7,15,9,8,7,13,15,9,14,10,11,7,9,12,10,14,13,16,16,9,14,8,14,11,10
"11",3,4,5,0,1,1,8,0,5,7,6,8,3,8,1,9,5,3,2,12,2,4,7,12,11,3,2,9,6,10,9,11,8,9,14,11,10,4,8,14,2,6,11,14,8,4,9,12,11,5,3,9,11,12,9,11,12,16,10,10,14,6,11,12,3,2,11,5,15,10,12,8,10,9,8,2,12,4,3,2,8,10,4,11,11,6,2,4,9,7,11,14,13,13,10,11,5,11,12,11
"26",4,5,6,1,0,2,9,1,6,8,7,9,4,9,2,10,6,2,3,13,3,5,8,13,12,4,3,10,5,11,10,12,9,10,15,12,11,5,9,15,3,7,12,15,9,5,10,13,12,4,4,10,12,13,10,12,13,17,11,11,15,5,12,13,4,1,12,6,16,11,13,9,11,10,9,3,13,5,4,3,7,9,3,12,12,5,3,5,10,8,12,15,14,14,11,12,6,12,13,12
"36",4,5,6,1,2,0,9,1,6,8,7,9,4,9,2,10,6,4,3,13,3,5,8,13,12,4,3,10,7,11,10,12,9,10,15,12,11,5,9,15,3,7,12,15,9,5,10,13,12,6,4,10,12,13,10,12,13,17,11,11,15,7,12,13,4,3,12,4,16,11,13,9,11,10,9,3,13,3,4,3,9,11,5,12,12,7,3,5,10,8,12,15,14,14,11,12,6,12,13,12
"37",9,10,7,8,9,9,0,8,7,13,8,4,11,10,9,15,11,11,10,18,10,6,13,18,17,11,10,5,14,16,15,17,14,5,20,13,16,12,10,20,10,12,17,20,14,12,11,18,17,13,11,11,17,18,5,17,8,12,16,16,20,14,3,18,11,10,17,13,21,12,18,16,12,15,14,10,18,12,11,10,16,18,12,17,13,14,10,12,15,13,17,10,19,19,12,17,11,17,8,7
"42",3,4,5,0,1,1,8,0,5,7,6,8,3,8,1,9,5,3,2,12,2,4,7,12,11,3,2,9,6,10,9,11,8,9,14,11,10,4,8,14,2,6,11,14,8,4,9,12,11,5,3,9,11,12,9,11,12,16,10,10,14,6,11,12,3,2,11,5,15,10,12,8,10,9,8,2,12,4,3,2,8,10,4,11,11,6,2,4,9,7,11,14,13,13,10,11,5,11,12,11
"44",6,7,0,5,6,6,7,5,0,10,5,7,8,7,6,12,8,8,7,15,7,3,10,15,14,8,7,8,11,13,12,14,11,8,17,10,13,9,7,17,7,9,14,17,11,9,8,15,14,10,8,8,14,15,8,14,11,15,13,13,17,11,10,15,8,7,14,10,18,9,15,13,9,12,11,7,15,9,8,7,13,15,9,14,10,11,7,9,12,10,14,13,16,16,9,14,8,14,11,10
"47",4,3,10,7,8,8,13,7,10,0,11,13,10,13,8,2,4,10,9,17,9,9,6,9,8,10,9,14,13,9,2,10,7,14,7,16,7,11,13,13,9,5,16,13,7,11,14,9,4,12,10,14,16,11,14,16,17,21,15,3,19,13,16,17,10,9,10,12,14,15,11,15,15,8,7,9,17,11,10,9,15,17,11,10,16,13,9,11,8,6,4,19,12,12,15,16,4,10,17,16
"48",7,8,5,6,7,7,8,6,5,11,0,8,9,4,7,13,9,9,8,16,8,4,11,16,15,9,8,9,12,14,13,15,12,9,18,11,14,10,2,18,8,10,15,18,12,10,5,16,15,11,9,5,15,16,9,15,12,16,14,14,18,12,11,16,9,8,15,11,19,10,16,14,6,13,12,8,16,10,9,8,14,16,10,15,5,12,8,10,13,11,15,14,17,17,6,15,9,15,12,11
"51",9,10,7,8,9,9,4,8,7,13,8,0,11,10,9,15,11,11,10,18,10,6,13,18,17,11,10,5,14,16,15,17,14,5,20,13,16,12,10,20,10,12,17,20,14,12,11,18,17,13,11,11,17,18,5,17,8,12,16,16,20,14,7,18,11,10,17,13,21,12,18,16,12,15,14,10,18,12,11,10,16,18,12,17,13,14,10,12,15,13,17,10,19,19,12,17,11,17,4,7
"54",6,7,8,3,4,4,11,3,8,10,9,11,0,11,4,12,8,6,5,15,5,7,10,15,14,6,5,12,9,13,12,14,11,12,17,14,13,1,11,17,5,9,14,17,11,7,12,15,14,8,6,12,14,15,12,14,15,19,13,13,17,9,14,15,6,5,14,8,18,13,15,11,13,12,11,5,15,7,6,5,11,13,7,14,14,9,5,7,12,10,14,17,16,16,13,14,8,14,15,14
"60",9,10,7,8,9,9,10,8,7,13,4,10,11,0,9,15,11,11,10,18,10,6,13,18,17,11,10,11,14,16,15,17,14,11,20,13,16,12,6,20,10,12,17,20,14,12,1,18,17,13,11,1,17,18,11,17,14,18,16,16,20,14,13,18,11,10,17,13,21,12,18,16,2,15,14,10,18,12,11,10,16,18,12,17,9,14,10,12,15,13,17,16,19,19,2,17,11,17,14,13
"70",4,5,6,1,2,2,9,1,6,8,7,9,4,9,0,10,6,4,3,13,3,5,8,13,12,4,3,10,7,11,10,12,9,10,15,12,11,5,9,15,3,7,12,15,9,5,10,13,12,6,2,10,12,13,10,12,13,17,11,11,15,7,12,13,4,3,12,6,16,11,13,9,11,10,9,3,13,5,4,3,9,11,5,12,12,7,3,5,10,8,12,15,14,14,11,12,6,12,13,12
