V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69
0,562,534,404,570,519,636,545,545,558,702,703,514,530,563,0,547,513,382,383,525,18,571,520,20,531,519,552,565,641,722,541,569,569,552,599,513,475,602,544,569,514,417,127,590,544,554,563,563,21,546,633,530,608,538,392,533,637,710,571,22,511,717,638,530,388,556,642,531
562,0,196,564,198,181,507,131,131,174,614,615,176,192,1,562,145,175,542,543,187,560,199,182,562,147,181,214,195,513,634,203,233,233,214,513,175,137,516,206,231,176,577,571,222,206,216,225,225,563,208,503,192,478,200,552,135,507,624,199,564,173,631,509,192,548,126,514,193
534,196,0,536,204,123,480,179,179,192,588,589,118,134,197,534,181,117,514,515,129,532,205,120,534,165,119,157,201,485,608,147,179,179,158,484,117,79,487,150,189,118,547,543,228,150,162,171,171,535,152,475,134,450,144,524,167,479,594,205,536,115,601,482,134,520,192,486,129
404,564,536,0,572,521,640,547,547,560,704,705,516,532,565,404,549,515,182,183,527,402,573,522,404,533,521,554,567,643,724,543,571,571,554,601,515,477,604,546,571,516,151,413,592,546,556,565,565,405,548,633,532,610,540,192,535,639,712,573,406,513,719,642,532,188,558,644,533
570,198,204,572,0,189,516,179,179,192,624,625,184,200,199,570,181,183,550,551,195,568,159,190,570,167,189,220,171,521,644,209,241,241,220,521,183,145,524,214,239,184,583,579,198,214,222,233,233,571,216,511,200,486,206,560,169,515,632,159,572,181,639,518,200,556,194,522,201
519,181,123,521,189,0,465,164,164,177,573,574,7,119,182,519,166,12,499,500,114,517,190,109,519,150,108,143,186,470,593,132,164,164,143,470,12,60,473,135,174,17,534,528,213,135,147,156,156,520,137,460,119,435,129,509,152,464,579,190,521,100,586,467,119,505,177,471,120
636,507,480,640,516,465,0,491,491,504,690,691,460,476,508,636,493,459,618,619,471,634,517,466,636,477,465,498,511,277,710,487,517,517,498,587,459,421,590,490,515,460,653,645,538,490,500,509,509,637,492,265,476,392,484,628,479,337,698,517,638,457,705,14,476,624,500,278,477
545,131,179,547,179,164,491,0,0,155,595,596,159,175,132,545,128,158,525,526,170,543,180,165,545,130,164,195,176,496,615,184,216,216,195,496,158,120,499,189,214,159,560,554,203,189,197,208,208,546,191,486,175,461,181,535,118,490,607,180,547,156,614,493,175,531,127,497,176
545,131,179,547,179,164,491,0,0,155,595,596,159,175,132,545,128,158,525,526,170,543,180,165,545,130,164,195,176,496,615,184,216,216,195,496,158,120,499,189,214,159,560,554,203,189,197,208,208,546,191,486,175,461,181,535,118,490,607,180,547,156,614,493,175,531,127,497,176
558,174,192,560,192,177,504,155,155,0,610,611,172,188,175,558,159,171,538,539,183,556,193,178,558,127,177,208,189,509,630,197,229,229,208,509,171,133,512,202,227,172,573,567,216,202,210,221,221,559,204,499,188,474,194,548,145,503,620,193,560,169,627,506,188,544,170,510,189
