iteration,logLikelihood,logPrior,theta,mutation_rate,infection_rate,1,2,3,4,5,6,7,8,9,10,1_InfTime,2_InfTime,3_InfTime,4_InfTime,5_InfTime,6_InfTime,7_InfTime,8_InfTime,9_InfTime,10_InfTime
1,-7844.427303096187,-66.49481341696398,0.0005048857141521125,6.84821945876093e-5,10.420623673023698,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.026165527505658242,0.807328077622853,0.9774027238402516,1.6412401005900565,1.934545038712307,0.8072460911364537,2.688514742178782,2.828484193075717
1000,-3559.860929812386,-26.933034225053802,0.00021341473150828525,5.912170302072847e-7,9.56316495563579,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.02691077066335757,0.8072109935017452,1.1609080515284853,1.58215780231429,1.7220126857438935,0.8070921421912406,2.7001958301378455,2.930175396161565
2000,-1034.295080751823,-3.8336665068182167,3.780119986336968e-7,1.3098825973152486e-5,9.308076613737017,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.03985696040404437,0.8073754586267102,1.1440934726346834,1.6006526781778865,1.9304240868068767,0.807182985357204,2.7118600189345066,2.930175396161565
3000,-1034.8979683729412,-0.4449949982264585,1.7616862099967058e-7,1.266136303473028e-5,9.077494979475965,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.122639887123354,0.8071942581431006,1.227292770835613,1.5932664986515528,1.9374580656410294,0.8072451488323523,2.7245460421441696,2.930175396161565
4000,-1034.715970366485,0.061728387889521064,1.1149809368466997e-7,1.4594373437007233e-5,7.797762482153409,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1708688451261661,0.8073722846049027,1.008452983638763,1.6368523334579863,1.9374580656410294,0.8073090736576282,2.7218735818293447,2.930175396161565
5000,-1036.5228024391195,-1.6364678409920859,7.752592655012529e-7,1.0827886779960901e-5,7.852130018705673,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.16958368706395716,0.8071347021389517,1.078688581388462,1.4227859923973671,1.937548946795672,0.8073291217893305,2.7218735818293447,2.930175396161565
6000,-1034.9842616574365,2.0889881358785307,4.978012072546577e-7,1.3812479246878545e-5,6.430527056384011,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.05928824614952325,0.8073489528841467,1.1795371410563125,1.6465782202798298,1.935534837380694,0.8071189163549065,2.6780204672623267,2.930175396161565
7000,-1034.6422931033103,4.043267006892648,1.7485599782952483e-7,1.41488619841001e-5,6.699145554955735,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.14380252984423736,0.807320242604304,1.2439470297551247,1.6126785466616,1.931213039625551,0.8071124495896996,2.7251126798389196,2.930175396161565
8000,-1037.5315657417664,0.14547596813262093,3.5536705313273164e-7,1.0169317878906276e-5,6.013681164144954,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1498044888951852,0.8073935032002055,1.0720116543258087,1.5658590994888868,1.8975701376143002,0.8071378847318006,2.7172396306681916,2.930175396161565
9000,-1034.7407646760992,-1.097906500992444,1.2779336501310406e-7,1.3108720786475497e-5,6.3403474926029215,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.05743011421706518,0.8074035858073904,1.0314052333270567,1.3909269395397867,1.932006803612711,0.8072756370395315,2.714251450796057,2.930175396161565
10000,-1035.5019725451943,0.772548115813984,4.0693532770395104e-8,1.2796940966873383e-5,6.068830024958055,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.20747720085492366,0.8073998016464838,1.1114218602327943,1.6205017189792357,1.932006803612711,0.8071274375161785,2.7268963397736248,2.9134757837725633
11000,-1036.1740577993435,-2.354484043056513,9.232879410293738e-7,1.3634938825362847e-5,6.6604204960649165,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.1267112026850759,0.8072064923932355,1.1989820628760286,1.6318493045946436,1.924566179156134,0.8073022345052665,2.7214133567209102,2.8906671551562875
12000,-1035.7732347512463,-3.8646484510247667,8.065484493853303e-7,1.308359226588692e-5,7.347044322000636,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.04132274621880486,0.8072974556112024,1.1598392623539004,1.4824124258925775,1.917370269918042,0.807384929636172,2.7150062086083637,2.9289174537471494
13000,-1035.0900972079667,-1.3342528968062897,4.7621365775541387e-7,1.2077162406138633e-5,7.091431147313287,1,1,1,3,2,5,6,3,8,8,0.0,0.20108689593647988,0.08237566531605262,0.8072021584179697,1.0068770450733633,1.6444961454174138,1.9092913807864218,0.8072482767302681,2.7197312521185455,2.9289174537471494
